id1,id2
MD.model.ptg000007l.1135,ptg000007lG000970
MD.model.ptg000007l.1136,ptg000007lG000971
MD.model.ptg000007l.1137,ptg000007lG000972
MD.model.ptg000007l.1138,ptg000007lG000973
MD.model.ptg000007l.1141,ptg000007lG000976
MD.model.ptg000007l.1142,ptg000007lG000977
MD.model.ptg000007l.1144,ptg000007lG000978
MD.model.ptg000007l.1148,ptg000007lG000979
MD.model.ptg000007l.1149,ptg000007lG000980
MD.model.ptg000007l.1150,ptg000007lG000981
MD.model.ptg000007l.1151,ptg000007lG000982
MD.model.ptg000007l.1153,ptg000007lG000983
MD.model.ptg000007l.1154,ptg000007lG000984
MD.model.ptg000007l.1156,ptg000007lG000985
MD.model.ptg000007l.1157,ptg000007lG000986
MD.model.ptg000007l.1159,ptg000007lG000988
MD.model.ptg000007l.1160,ptg000007lG000989
MD.model.ptg000007l.1161,ptg000007lG000990
MD.model.ptg000007l.1164,ptg000007lG000993
MD.model.ptg000007l.1165,ptg000007lG000994
MD.model.ptg000007l.1166,ptg000007lG000995
MD.model.ptg000007l.1167,ptg000007lG000996
MD.model.ptg000007l.1168,ptg000007lG000997
MD.model.ptg000007l.1169,ptg000007lG000998
MD.model.ptg000007l.1170,ptg000007lG000999
MD.model.ptg000007l.1171,ptg000007lG001000
MD.model.ptg000007l.1172,ptg000007lG001001
MD.model.ptg000007l.1173,ptg000007lG001002
MD.model.ptg000007l.1174,ptg000007lG001003
MD.model.ptg000007l.1177,ptg000007lG001005
MD.model.ptg000007l.1178,ptg000007lG001006
MD.model.ptg000007l.118,ptg000007lG000089
MD.model.ptg000007l.1180,ptg000007lG001007
MD.model.ptg000007l.1181,ptg000007lG001008
MD.model.ptg000007l.1184,ptg000007lG001011
MD.model.ptg000007l.1186,ptg000007lG001012
MD.model.ptg000007l.1187,ptg000007lG001013
MD.model.ptg000007l.1188,ptg000007lG001014
MD.model.ptg000007l.1189,ptg000007lG001015
MD.model.ptg000007l.1190,ptg000007lG001016
MD.model.ptg000007l.1191,ptg000007lG001017
MD.model.ptg000007l.1192,ptg000007lG001018
MD.model.ptg000007l.1193,ptg000007lG001019
MD.model.ptg000007l.1194,ptg000007lG001020
MD.model.ptg000007l.1195,ptg000007lG001021
MD.model.ptg000007l.1196,ptg000007lG001022
MD.model.ptg000007l.1197,ptg000007lG001023
MD.model.ptg000007l.1198,ptg000007lG001024
MD.model.ptg000007l.1199,ptg000007lG001025
MD.model.ptg000007l.120,ptg000007lG000090
MD.model.ptg000007l.1201,ptg000007lG001026
MD.model.ptg000007l.1202,ptg000007lG001027
MD.model.ptg000007l.1203,ptg000007lG001028
MD.model.ptg000007l.1204,ptg000007lG001029
MD.model.ptg000007l.1205,ptg000007lG001030
MD.model.ptg000007l.1206,ptg000007lG001031
MD.model.ptg000007l.1208,ptg000007lG001032
MD.model.ptg000007l.1209,ptg000007lG001033
MD.model.ptg000007l.1210,ptg000007lG001034
MD.model.ptg000007l.1211,ptg000007lG001035
MD.model.ptg000007l.1212,ptg000007lG001036
MD.model.ptg000007l.1213,ptg000007lG001037
MD.model.ptg000007l.1215,ptg000007lG001038
MD.model.ptg000007l.1216,ptg000007lG001039
MD.model.ptg000007l.1217,ptg000007lG001040
MD.model.ptg000007l.1218,ptg000007lG001041
MD.model.ptg000007l.1219,ptg000007lG001042
MD.model.ptg000007l.122,ptg000007lG000091
MD.model.ptg000007l.1220,ptg000007lG001043
MD.model.ptg000007l.1221,ptg000007lG001044
MD.model.ptg000007l.1222,ptg000007lG001045
MD.model.ptg000007l.1223,ptg000007lG001046
MD.model.ptg000007l.1224,ptg000007lG001047
MD.model.ptg000007l.1225,ptg000007lG001048
MD.model.ptg000007l.1227,ptg000007lG001049
MD.model.ptg000007l.1229,ptg000007lG001050
MD.model.ptg000007l.1230,ptg000007lG001051
MD.model.ptg000007l.1231,ptg000007lG001052
MD.model.ptg000007l.1233,ptg000007lG001054
